index,证券代码,open,close,high,high_limit,成交额_亿,auction_pct,prev_limit_up,next_open,次日收益率_pct
2026-04-13,002824.XSHE,24.82,26.92,27.61,27.61,16.26,-1.1155378486055856,0,27.45,1.9687964338781505
2026-04-14,002197.XSHE,7.8,7.77,8.4,8.4,3.52,2.0942408376963373,0,7.85,1.029601029601035
2026-04-14,600667.XSHG,9.82,10.19,10.57,10.57,28.15,2.1852237252861784,0,10.21,0.19627085377822429
2026-04-14,600343.XSHG,31.9,33.97,34.99,34.99,34.7,0.2829298962590432,0,33.97,0.0
2026-04-14,002134.XSHE,23.54,23.08,23.54,23.54,5.83,10.000000000000009,0,22.87,-0.90987868284228
2026-04-14,603021.XSHG,8.01,8.16,8.41,8.41,1.5,0.0,1,8.11,-0.6127450980392246
2026-04-14,002650.XSHE,8.44,7.79,8.61,8.61,2.64,2.9268292682926855,0,7.68,-1.412066752246477
2026-04-14,603682.XSHG,7.48,7.01,7.63,7.63,4.2,7.78097982708934,1,6.92,-1.2838801711840153
2026-04-14,002789.XSHE,12.78,12.95,13.23,13.23,0.64,1.4285714285714235,1,12.85,-0.7722007722007707
2026-04-14,000586.XSHE,20.63,23.19,23.76,23.76,17.58,-4.490740740740751,0,22.72,-2.0267356619232513
2026-04-14,002816.XSHE,23.78,24.67,24.97,24.97,1.01,0.0,0,24.8,0.5269558167815047
2026-04-14,002199.XSHE,9.1,9.2,9.44,9.44,0.66,1.2235817575083408,1,9.33,1.413043478260878
2026-04-14,600126.XSHG,9.12,9.49,9.9,9.9,33.52,1.3333333333333197,0,9.55,0.6322444678609207
2026-04-14,002911.XSHE,14.33,13.57,15.16,15.16,3.44,3.991291727140789,0,13.71,1.0316875460574915
2026-04-14,301396.XSHE,153.43,158.93,166.76,166.76,41.65,10.413068508923429,0,158.45,-0.3020197571257932
2026-04-14,000793.XSHE,3.27,2.95,3.27,3.27,4.17,5.144694533762073,1,2.93,-0.6779661016949157
2026-04-14,603803.XSHG,16.79,15.0,16.79,16.79,18.56,10.026212319790307,1,15.21,1.4000000000000012
2026-04-14,002008.XSHE,76.49,82.59,83.24,83.24,45.44,1.0702959830866554,0,82.51,-0.09686402712192344
2026-04-14,001896.XSHE,14.87,15.06,15.85,15.85,31.93,3.192227619708521,1,15.06,0.0
2026-04-14,002943.XSHE,42.25,41.85,43.46,43.46,21.92,6.962025316455689,1,42.69,2.00716845878135
2026-04-14,002484.XSHE,31.18,33.26,33.59,33.59,30.69,2.1290533901080932,0,33.43,0.5111244738424503
2026-04-14,301629.XSHE,263.82,293.59,308.3,308.3,11.46,2.6856609061186365,0,283.81,-3.3311761299771647
2026-04-14,002428.XSHE,56.0,58.88,60.64,60.64,68.09,1.5780881552693637,0,59.71,1.4096467391304213
2026-04-14,603890.XSHG,15.95,17.01,17.23,17.23,12.2,1.8518518518518379,0,17.14,0.7642563198118735
2026-04-14,002528.XSHE,5.34,4.97,5.34,5.34,5.57,4.911591355599221,1,4.9,-1.4084507042253391
2026-04-14,600959.XSHG,3.92,4.18,4.28,4.28,11.21,0.7712082262210762,0,4.18,0.0
2026-04-14,603256.XSHG,94.96,97.96,98.19,98.19,34.44,6.373921810238592,1,98.23,0.2756227031441405
2026-04-15,002713.XSHE,15.22,14.95,15.67,15.67,6.08,2.0107238605898248,1,14.7,-1.6722408026755842
2026-04-15,603538.XSHG,50.91,55.5,56.06,56.06,37.53,-0.09811616954474855,0,55.5,0.0
2026-04-15,603097.XSHG,32.38,34.02,35.6,35.6,2.55,0.061804697156997435,0,33.68,-0.9994121105232345
2026-04-15,002149.XSHE,52.0,53.65,55.0,55.0,70.35,4.0000000000000036,1,53.04,-1.1369990680335507
2026-04-15,601133.XSHG,23.88,25.87,26.24,26.24,9.91,0.12578616352201255,0,24.8,-4.136064940085038
2026-04-15,301682.XSHE,117.45,125.71,140.2,140.2,12.86,0.5306856115723679,0,126.28,0.45342454856416303
2026-04-15,603083.XSHG,125.32,125.61,132.48,132.48,84.66,4.05181002989039,0,124.99,-0.4935912745800519
2026-04-15,002606.XSHE,11.54,12.29,12.74,12.74,8.13,-0.3454231433506094,0,12.3,0.08136696501221952
2026-04-15,600743.XSHG,3.53,2.89,3.53,3.53,14.05,9.968847352024923,1,2.85,-1.384083044982698
2026-04-15,600340.XSHG,1.38,1.4,1.51,1.51,3.86,0.7299270072992581,0,1.38,-1.4285714285714346
2026-04-15,603211.XSHG,25.56,26.91,28.16,28.16,5.2,-0.15625000000001332,0,26.9,-0.03716090672613026
2026-04-15,002585.XSHE,6.97,7.14,7.62,7.62,5.36,0.5772005772005873,0,7.17,0.42016806722688926
2026-04-15,603256.XSHG,98.23,102.03,107.76,107.76,50.51,0.2756227031441405,1,101.96,-0.06860727237087971
2026-04-15,600152.XSHG,12.4,12.07,13.08,13.08,23.69,4.28931875525651,1,11.9,-1.4084507042253502
2026-04-15,002552.XSHE,19.78,20.36,20.97,20.97,7.79,3.7775445960126053,0,20.16,-0.9823182711198419
2026-04-15,000711.XSHE,3.66,3.71,3.77,3.77,6.01,1.9498607242339983,1,3.65,-1.6172506738544534
2026-04-15,603985.XSHG,21.11,22.26,23.21,23.21,15.91,0.04739336492889379,0,22.57,1.3926325247079818
2026-04-15,603688.XSHG,51.0,51.8,54.96,54.96,22.43,2.081665332265814,0,51.74,-0.11583011583010672
2026-04-15,002980.XSHE,68.43,70.54,70.55,70.55,18.22,6.688493919550997,1,70.91,0.5245250921462885
2026-04-15,000078.XSHE,3.68,4.02,4.03,4.03,18.33,0.5464480874316946,0,3.86,-3.980099502487555
2026-04-15,000430.XSHE,7.79,8.08,8.18,8.18,1.85,0.0,0,7.92,-1.980198019801982
2026-04-15,600839.XSHG,8.84,9.35,9.67,9.67,31.69,0.5688282138794243,0,9.2,-1.6042780748663166
2026-04-15,000555.XSHE,16.89,15.99,16.89,16.89,15.78,10.032573289902281,0,16.48,3.064415259537201
2026-04-15,002840.XSHE,12.56,13.68,13.82,13.82,11.54,0.0,0,13.6,-0.5847953216374324
2026-04-15,300097.XSHE,8.36,9.83,10.04,10.04,5.29,-0.11947431302269385,0,9.69,-1.4242115971515812
2026-04-15,688618.XSHG,35.1,39.37,41.95,41.95,4.46,0.4004576659038861,0,38.56,-2.0574041148082145
2026-04-15,000570.XSHE,6.25,6.11,6.35,6.35,5.03,8.318890814558078,0,6.17,0.9819967266775809
2026-04-15,002060.XSHE,3.64,3.9,3.95,3.95,5.67,1.1111111111111072,0,3.89,-0.2564102564102555
2026-04-15,002989.XSHE,26.36,27.13,28.49,28.49,2.84,1.776061776061777,0,27.33,0.7371913011426479
2026-04-15,601588.XSHG,2.28,1.98,2.28,2.28,7.41,10.144927536231885,1,1.91,-3.535353535353536
2026-04-15,603016.XSHG,43.86,46.16,48.25,48.25,4.75,0.0,0,46.16,0.0
2026-04-16,603206.XSHG,16.64,17.48,18.09,18.09,3.34,1.1550151975683987,0,17.16,-1.830663615560646
2026-04-16,000534.XSHE,41.5,43.9,45.9,45.9,14.84,-0.5511622334052113,0,44.37,1.070615034168565
2026-04-16,002589.XSHE,3.87,3.64,3.95,3.95,14.76,7.799442896935949,1,3.61,-0.8241758241758323
2026-04-16,002624.XSHE,18.77,20.27,20.72,20.72,24.73,-0.31864046733934837,0,20.09,-0.8880118401578652
2026-04-16,002842.XSHE,31.89,33.85,34.85,34.85,23.59,0.6628787878787845,0,33.86,0.029542097488910457
2026-04-16,002132.XSHE,4.22,4.42,4.57,4.57,10.15,1.6867469879517927,0,4.38,-0.9049773755656076
2026-04-16,003038.XSHE,15.72,16.17,17.26,17.26,5.1,0.19120458891013214,0,16.1,-0.43290043290042934
2026-04-16,600986.XSHG,10.33,10.98,11.24,11.24,31.39,1.0763209393346296,0,10.94,-0.36429872495447047
2026-04-16,300938.XSHE,32.66,36.36,38.82,38.82,15.5,0.9582689335394079,0,37.63,3.492849284928501
